Close,ClassificationValue
16.66,-1
16.85,-1
16.93,-1
16.98,-1
17.08,1
17.030001,-1
17.09,1
16.76,1
16.67,-1
16.719999,-1
16.860001,1
16.85,-1
16.870001,-1
16.9,-1
16.92,1
16.860001,1
16.74,1
16.73,-1
16.82,-1
17.02,-1
17.049999,1
17.049999,-1
17.23,-1
17.290001,-1
17.32,1
17.23,1
17.209999,-1
17.280001,1
17.24,1
17.059999,1
17.059999,1
16.99,-1
17.15,-1
17.200001,1
17.17,-1
17.209999,-1
17.280001,1
17.280001,1
17.219999,-1
17.24,1
17.23,-1
17.290001,-1
17.32,1
17.200001,1
17.190001,1
17.07,-1
17.09,-1
17.120001,-1
17.25,-1
17.450001,-1
17.49,1
17.450001,1
17.440001,-1
17.450001,-1
17.549999,-1
17.559999,1
17.559999,1
17.459999,-1
17.530001,1
17.440001,1
17.299999,1
17.290001,-1
17.530001,-1
17.549999,-1
17.629999,-1
17.780001,-1
17.85,1
17.75,-1
17.940001,-1
17.98,1
17.959999,1
17.879999,-1
18.030001,-1
18.049999,1
17.93,-1
17.959999,1
17.83,1
17.83,1
17.76,-1
17.860001,-1
17.959999,-1
18.219999,1
18.110001,-1
18.27,1
18.120001,-1
18.219999,-1
18.27,1
18.27,-1
18.290001,1
18.290001,1
18.18,-1
18.26,-1
18.440001,-1
18.52,-1
18.559999,-1
18.68,1
18.6,-1
18.709999,1
18.690001,1
18.690001,1
18.67,-1
18.719999,-1
18.780001,1
18.77,-1
18.790001,1
18.6,-1
18.879999,-1
18.93,-1
19.139999,-1
19.26,-1
19.4,1
19.25,1
18.98,1
18.93,-1
18.969999,1
18.92,1
18.83,-1
19.0,-1
19.16,1
19.139999,1
18.110001,1
17.91,-1
18.110001,1
17.440001,-1
17.690001,1
17.639999,-1
17.809999,-1
17.91,1
17.67,1
17.59,1
17.32,1
16.870001,1
16.690001,-1
16.870001,1
16.68,-1
17.059999,-1
17.360001,-1
17.610001,1
17.59,1
17.48,1
17.23,-1
17.27,-1
17.5,-1
17.690001,-1
17.84,-1
18.02,1
17.950001,-1
17.99,-1
18.139999,-1
18.41,-1
18.459999,-1
18.610001,1
18.48,1
18.280001,-1
18.290001,-1
18.32,-1
18.34,-1
18.540001,-1
18.68,-1
18.700001,1
18.68,-1
18.82,1
18.790001,1
18.540001,1
18.530001,-1
18.540001,1
18.43,1
18.42,-1
18.549999,-1
18.68,1
18.540001,-1
18.59,-1
18.75,1
18.610001,-1
18.870001,-1
19.09,-1
19.18,-1
19.290001,-1
19.370001,1
19.309999,1
19.209999,-1
19.370001,-1
19.440001,1
19.42,1
19.139999,-1
19.41,-1
19.42,-1
19.450001,-1
19.690001,1
19.66,-1
20.0,1
19.889999,-1
20.120001,1
20.0,1
19.780001,-1
19.860001,1
19.85,1
19.709999,-1
19.889999,-1
20.01,-1
20.02,1
19.959999,1
19.959999,-1
20.08,1
20.049999,1
19.610001,-1
19.77,1
19.610001,1
19.530001,-1
19.559999,-1
19.73,-1
19.85,1
19.360001,-1
19.559999,-1
19.790001,-1
19.940001,-1
20.01,1
19.860001,1
19.82,1
19.719999,-1
19.860001,-1
19.93,1
19.879999,-1
20.16,-1
20.32,1
20.18,1
19.559999,1
19.370001,-1
19.51,-1
19.66,1
19.0,-1
19.309999,-1
19.450001,1
19.4,1
19.4,-1
19.719999,1
19.68,1
19.67,1
19.43,1
19.33,-1
19.85,-1
19.959999,-1
19.969999,-1
19.98,-1
20.07,1
19.92,-1
20.299999,-1
20.379999,-1
20.43,-1
20.77,1
20.690001,-1
20.870001,1
20.870001,-1
21.0,-1
21.120001,1
20.85,-1
21.190001,1
21.110001,-1
21.299999,-1
21.459999,-1
21.549999,1
21.4,1
21.360001,1
21.18,-1
21.26,1
21.16,1
21.030001,-1
21.26,-1
21.67,-1
21.74,1
21.66,-1
21.77,-1
21.959999,-1
22.200001,1
22.120001,1
21.99,-1
22.09,-1
22.17,-1
22.18,1
22.120001,1
22.0,-1
22.129999,1
21.83,1
21.790001,-1
21.860001,-1
21.92,-1
21.93,1
21.76,-1
21.799999,-1
21.85,-1
21.93,1
21.790001,1
21.790001,-1
21.860001,-1
21.950001,1
21.950001,1
21.700001,1
21.41,1
21.25,-1
21.290001,-1
21.639999,1
21.559999,1
21.52,-1
21.639999,-1
21.73,1
21.530001,1
